,일시,평균기온,최고기온,최저기온,일조합,일조율,일사합,평균풍속,최대풍속,최대풍속풍향,강수량,평균습도,최저습도
54,2015-02-24,7.9,10.9,5.9,7.0,61.9,15.43,2.2,3.9,20.0,0.0,56.4,36.0
55,2015-02-25,10.3,12.7,6.8,0.1,0.9,5.35,1.5,3.2,320.0,0.0,64.8,50.0
56,2015-02-26,8.8,11.6,4.9,2.6,23.0,7.81,3.4,5.9,320.0,0.0,63.6,41.0
57,2015-02-27,4.2,5.4,3.7,0.0,0.0,5.93,3.6,6.3,320.0,0.0,56.3,45.0
58,2015-02-28,7.9,9.8,4.1,0.0,0.0,1.83,2.4,7.3,20.0,13.0,75.3,55.0
59,2015-03-01,7.3,9.2,5.9,2.9,25.2,9.14,5.0,7.3,20.0,2.6,69.5,52.0
60,2015-03-02,7.0,10.1,3.4,9.7,84.3,19.24,2.3,4.5,20.0,0.0,51.9,38.0
61,2015-03-03,8.4,10.1,6.8,0.4,3.5,2.79,2.7,9.5,320.0,1.3,75.6,57.0
62,2015-03-04,4.0,6.8,3.2,1.5,13.0,8.76,6.0,9.7,320.0,0.0,54.8,47.0
63,2015-03-05,5.4,7.1,2.8,7.2,62.1,16.78,3.1,5.0,360.0,0.0,48.1,36.0
64,2015-03-06,8.0,9.3,6.3,0.0,0.0,2.18,1.3,3.1,50.0,1.5,77.6,47.0
65,2015-03-07,9.3,12.1,6.3,0.7,6.0,6.72,2.1,5.2,20.0,0.0,68.4,56.0
66,2015-03-08,10.7,16.1,4.0,7.3,62.4,17.04,2.7,5.8,90.0,0.0,56.9,43.0
67,2015-03-09,7.6,11.6,2.0,6.9,59.0,15.34,5.1,10.3,320.0,9.5,65.1,48.0
68,2015-03-10,2.9,4.1,0.2,2.7,22.9,11.67,7.2,10.9,320.0,0.2,55.5,44.0
69,2015-03-11,7.0,9.7,3.3,6.5,55.1,16.48,5.5,7.4,320.0,0.0,51.8,40.0
70,2015-03-12,8.3,11.3,6.2,9.1,77.1,19.92,3.7,6.9,270.0,0.0,47.3,26.0
71,2015-03-13,11.5,17.7,4.7,9.6,80.7,17.17,3.0,6.2,230.0,0.0,55.0,35.0
72,2015-03-14,10.3,12.2,8.7,7.1,59.7,15.61,2.4,5.0,20.0,0.0,50.1,29.0
73,2015-03-15,10.8,14.0,7.8,9.1,76.5,19.09,1.8,4.5,20.0,0.0,53.8,35.0
74,2015-03-16,13.5,17.1,9.9,7.8,65.0,16.95,2.3,6.5,50.0,0.0,60.0,43.0
75,2015-03-17,15.7,19.6,11.1,8.5,70.8,18.19,2.2,5.6,70.0,0.0,71.9,51.0
76,2015-03-18,17.1,20.6,13.9,0.1,0.8,2.42,3.0,8.0,230.0,60.5,90.3,75.0
77,2015-03-19,12.8,14.8,11.5,2.2,18.2,7.63,2.4,4.9,20.0,4.2,92.3,82.0
78,2015-03-20,12.9,16.5,11.3,5.5,45.5,16.0,2.3,4.4,290.0,0.2,74.9,42.0
79,2015-03-21,13.8,17.5,10.9,9.7,79.5,19.84,2.9,5.5,270.0,0.0,62.4,28.0
80,2015-03-22,12.3,16.5,9.0,10.5,86.1,21.04,3.2,4.9,290.0,0.0,59.6,34.0
81,2015-03-23,9.1,11.7,6.7,10.7,87.7,19.61,3.4,5.9,320.0,0.0,47.9,19.0
82,2015-03-24,8.5,12.0,6.0,11.0,89.4,23.21,3.3,5.4,360.0,0.0,45.3,30.0
