,평균기온,일사합,평균풍속,최저습도,강수량,연간지수,전력수요총합
103,15.2,4.63,4.8,73.0,3.7,0,14154.599999999999
104,11.9,24.54,4.2,46.0,0.0,0,13914.699999999999
105,12.2,19.0,2.0,53.0,0.0,0,14785.000000000002
106,14.5,18.9,2.6,54.0,0.0,0,14495.0
107,13.6,27.17,2.6,50.0,0.0,0,14834.899999999998
108,15.2,27.13,2.2,22.0,0.0,0,14952.1
109,16.6,26.14,1.8,30.0,0.0,0,14746.499999999998
110,17.4,23.9,1.7,48.0,0.0,0,13887.099999999999
111,20.4,9.47,1.6,52.0,5.2,0,13292.900000000001
112,18.5,4.67,1.7,87.0,41.8,0,14302.099999999999
113,14.7,5.1,2.7,89.0,38.7,0,14385.700000000004
114,14.6,10.73,2.0,44.0,1.7,0,14519.199999999997
115,15.5,20.11,2.2,57.0,0.0,0,14489.2
116,16.6,24.88,3.4,33.0,0.0,0,14203.699999999999
117,16.4,23.77,1.8,56.0,0.0,0,13713.8
118,17.3,23.14,2.0,67.0,0.0,0,13159.599999999999
119,20.7,21.61,1.8,49.0,1.2,0,13709.7
120,20.7,22.52,1.6,59.0,0.0,0,13379.699999999997
121,17.6,5.49,3.7,61.0,0.3,0,13916.799999999996
122,15.2,20.68,5.2,48.0,0.0,0,14170.399999999998
123,16.2,28.89,4.0,17.0,0.0,0,14185.1
124,19.6,20.35,2.6,17.0,0.0,0,13263.099999999999
125,20.3,4.75,4.2,59.0,21.4,0,13434.7
126,16.8,5.73,2.8,83.0,17.2,0,13440.7
127,16.0,10.2,3.8,66.0,0.0,0,13889.0
128,15.7,23.75,3.3,56.0,0.0,0,13815.600000000002
129,15.9,28.35,3.0,63.0,0.0,0,13781.4
130,17.9,27.61,1.8,42.0,0.0,0,13778.399999999998
131,22.2,11.81,2.6,49.0,1.3,0,13163.199999999999
132,17.1,16.16,2.9,76.0,41.8,0,12788.1
133,19.0,26.26,1.4,52.0,0.0,0,13538.199999999997
134,21.8,24.62,1.4,50.0,0.0,0,13750.6
135,24.8,20.98,2.2,58.0,0.0,0,14252.299999999997
136,25.7,23.94,2.4,62.0,0.0,0,14745.4
137,21.8,18.45,3.6,68.0,2.4,0,14445.8
138,16.6,7.53,4.3,65.0,0.0,0,13359.700000000003
139,16.5,7.96,4.7,61.0,0.7,0,13007.499999999998
140,17.7,10.95,3.9,74.0,0.0,0,13535.299999999997
141,20.7,19.4,2.9,53.0,2.7,0,13158.5
142,17.8,22.08,3.6,45.0,4.1,0,13624.099999999999
143,19.2,22.65,1.3,16.0,0.0,0,13763.599999999997
144,19.9,19.43,1.8,33.0,0.0,0,13693.6
145,18.4,13.86,3.5,61.0,2.9,0,13397.399999999998
146,19.3,16.23,1.4,64.0,0.1,0,13111.600000000002
147,20.1,12.12,3.0,73.0,3.9,0,13907.600000000002
148,21.0,19.41,2.5,66.0,0.0,0,14050.800000000001
149,21.1,17.19,2.2,72.0,0.0,0,14173.500000000002
150,18.8,13.74,2.4,54.0,0.0,0,13755.5
151,20.1,28.72,1.6,56.0,0.0,0,13825.900000000001
152,22.1,24.14,1.7,53.0,0.0,0,13578.8
