일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2023-01-01,80125.92,8472.78,220521.6,15136.92,99192.934,423450.154
2023-01-02,165487.68,10303.2,287193.6,12013.2,125506.896,600504.576
2023-01-03,108518.4,11379.78,342921.6,6993.18,104463.776,574276.736
2023-01-04,86772.96,3314.16,79257.6,4096.08,24280.202,197721.002
2023-01-05,38021.76,713.7,16128,306.18,2816.903,57986.543
2023-01-06,26032.32,1186.2,49420.8,968.04,4739.713,82347.073
2023-01-07,71652.96,3111.48,388108.8,4081.68,62788.182,529743.102
2023-01-08,30612.96,260.1,8784,251.64,760.836,40669.536
2023-01-09,89161.92,5415.48,150163.2,6607.98,28290.442,279639.022
2023-01-10,69609.6,1755.54,38476.8,165.6,11547.626,121555.166
2023-01-11,155.52,192.24,10684.8,1627.2,1.8,12661.56
2023-01-12,44894.88,1749.42,128016,8448.66,8263.779,191372.739
2023-01-13,104922.72,2138.94,217584,7603.2,30599.689,362848.549
2023-01-14,203542.56,4336.74,100742.4,19414.44,25417.794,353453.934
2023-01-15,221374.08,6231.96,497030.4,20448.72,71534.781,816619.941
2023-01-16,171954.72,3433.86,540748.8,25074.54,76359.448,817571.368
2023-01-17,146537.28,9494.46,278179.2,16319.52,52752.874,503283.334
2023-01-18,16283.52,4045.68,118828.8,8164.26,23350.647,170672.907
2023-01-19,9328.32,2745,87321.6,6038.64,13169.517,118603.077
2023-01-20,99626.4,7515,297907.2,17959.5,43543.747,466551.847
2023-01-21,147386.88,2502,67363.2,6635.16,13721.92,237609.16
2023-01-22,19527.84,5376.24,138643.2,8266.14,21694.069,193507.489
2023-01-23,130055.04,4025.7,219456,15121.08,25764.909,394422.729
2023-01-24,91133.28,0.9,628156.8,5526.36,24043.793,748861.133
2023-01-25,63133.92,70.56,164678.4,1843.02,13730.357,243456.257
2023-01-26,17981.28,392.04,20419.2,2979.54,1031.409,42803.469
2023-01-27,119242.08,3175.2,583430.4,22676.76,44828.559,773352.999
2023-01-28,75130.56,4114.08,479462.4,19619.46,39492.857,617819.357
2023-01-29,14035.68,9172.08,316137.6,20020.14,29445.785,388811.285
2023-01-30,73517.76,2624.94,228729.6,8362.62,24204.094,337439.014
2023-01-31,26483.04,436.32,3168,3575.16,837.227,34499.747
2023-02-01,94775.04,3715.2,215395.2,12148.38,23955.896,349989.716
2023-02-02,192144.96,2248.02,129196.8,18610.74,17907.799,360108.319
2023-02-03,192163.68,7606.26,168134.4,17771.4,31217.521,416893.261
2023-02-04,80447.04,5044.32,113990.4,16849.8,19800.065,236131.625
2023-02-05,54508.32,180.9,201.6,4710.06,96.421,59697.301
2023-02-06,12330.72,853.38,22003.2,6077.52,3974.959,45239.779
2023-02-07,82104.48,1498.14,20764.8,11246.58,5269.029,120883.029
2023-02-08,143013.6,2916.18,74793.6,19241.1,26007.144,265971.624
2023-02-09,61113.6,4780.44,138729.6,10428.12,38479.411,253531.171
2023-02-10,176342.4,3306.6,191491.2,14982.12,50493.296,436615.616
2023-02-11,16155.36,1203.48,19929.6,3391.56,13058.258,53738.258
2023-02-12,36241.92,5036.4,133718.4,8330.04,31886.18,215212.94
2023-02-13,112214.88,5424.48,152323.2,18762.12,40775.607,329500.287
2023-02-14,131941.44,7649.82,185212.8,22671,44520.009,391995.069
2023-02-15,169953.12,1489.86,42134.4,12546.18,19395.476,245519.036
2023-02-16,52823.52,1746,4809.6,5216.04,9291.524,73886.684
2023-02-17,331.2,634.14,18604.8,694.08,7557.073,27821.293
2023-02-18,15711.84,235.08,7516.8,1006.74,4171.568,28642.028
2023-02-19,179468.64,1219.5,471254.4,17172.18,80527.245,749641.965
2023-02-20,126339.84,2460.78,415065.6,18586.8,68820.527,631273.547
2023-02-21,115580.16,1709.46,169142.4,11171.7,30848.138,328451.858
2023-02-22,17775.36,246.6,4233.6,3042.36,1790.294,27088.214
2023-02-23,82792.8,1462.14,36633.6,7853.22,12717.328,141459.088
2023-02-24,150796.8,3523.14,235612.8,16418.52,41659.921,448011.181
2023-02-25,114560.64,1287.18,377856,14885.28,63346.223,571935.323
2023-02-26,109317.6,1765.98,59644.8,9422.64,15662.394,195813.414
2023-02-27,2112.48,356.94,2851.2,1368.9,1228.966,7918.486
2023-02-28,19545.12,607.5,1584,3497.22,1744.821,26978.661
2023-03-01,64499.04,4089.96,246182.4,9811.8,35762.317,360345.517
2023-03-02,143543.52,7830.9,388540.8,13592.52,60830.835,614338.575
2023-03-03,104179.68,1354.14,44352,7156.98,28142.598,185185.398
