일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2023-03-04,58510.08,439.38,11347.2,3027.24,6260.86,79584.76
2023-03-05,4417.92,376.56,3139.2,638.1,1114.037,9685.817
2023-03-06,6160.32,228.06,2332.8,1691.46,1286.595,11699.235
2023-03-07,19285.92,262.44,979.2,6687.54,3553.255,30768.355
2023-03-08,97499.52,928.62,5587.2,12659.22,15341.699,132016.259
2023-03-09,77921.28,1407.42,19785.6,5148.36,19993.891,124256.551
2023-03-10,3097.44,225.54,748.8,2002.14,2585.15,8659.07
2023-03-11,16260.48,410.04,13276.8,5594.04,5398.593,40939.953
2023-03-12,70536.96,520.56,321350.4,5638.32,44279.345,442325.585
2023-03-13,72869.76,1472.4,223632,2618.46,37787.644,338380.264
2023-03-14,37882.08,1792.8,75542.4,7079.58,26567.369,148864.229
2023-03-15,59158.08,1758.06,18115.2,7536.24,26782.419,113349.999
2023-03-16,127746.72,2622.24,69667.2,16369.38,48423.269,264828.809
2023-03-17,36865.44,4827.96,93398.4,6943.5,63945.699,205980.999
2023-03-18,97492.32,5018.4,107596.8,11182.14,63171.588,284461.248
2023-03-19,83435.04,2314.98,31708.8,4650.48,44142.891,166252.191
2023-03-20,826.56,249.12,12960,437.76,3651.326,18124.766
2023-03-21,11185.92,2199.6,60278.4,1258.38,8660.365,83582.665
2023-03-22,2391.84,1050.48,38188.8,181.8,18951.913,60764.833
2023-03-23,85233.6,5962.32,102441.6,10317.78,50626.08,254581.38
2023-03-24,40318.56,4605.12,58953.6,11197.44,52145.198,167219.918
2023-03-25,19294.56,4264.2,91699.2,3889.8,49677.168,168824.928
2023-03-26,110638.08,6345,114480,7298.28,60481.574,299242.934
2023-03-27,154909.44,7093.26,150681.6,5199.12,72065.111,389948.531
2023-03-28,18213.12,738.36,9820.8,1653.48,13569.292,43995.052
2023-03-29,391.68,339.12,2505.6,109.44,3197.369,6543.209
2023-03-30,4155.84,349.74,16675.2,1268.46,2180.256,24629.496
2023-03-31,10032.48,255.96,979.2,3353.22,1969.748,16590.608
,,,,,,
,,,,,,
