일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2023-04-01,19065.6,1379.88,28684.8,863.28,13383.782,63377.342
2023-04-02,71488.8,5165.46,158659.2,4211.1,79436.606,318961.166
2023-04-03,73789.92,2599.74,262339.2,1240.56,100799.553,440768.973
2023-04-04,151264.8,5961.96,260870.4,12867.48,91940.737,522905.377
2023-04-05,135551.52,2977.92,160848,5092.74,83060.129,387530.309
2023-04-06,55255.68,4776.48,105494.4,6494.4,58606.694,230627.654
2023-04-07,148400.64,11098.26,291340.8,20525.58,105057.312,576422.592
2023-04-08,101733.12,9192.96,187488,8882.28,77911.141,385207.501
2023-04-09,19353.6,1520.64,55036.8,409.32,20703.336,97023.696
2023-04-10,71938.08,1352.88,18345.6,11302.92,20744.004,123683.484
2023-04-11,117214.56,6631.92,193449.6,13385.34,69749.911,400431.331
2023-04-12,126800.64,5228.28,89827.2,12222.54,45666.371,279745.031
2023-04-13,35457.12,2194.38,35654.4,3546.72,12283.961,89136.581
2023-04-14,45851.04,4897.98,148838.4,6562.62,49758.009,255908.049
2023-04-15,79336.8,6399.36,111168,11100.96,42851.003,250856.123
2023-04-16,59587.2,1694.7,146390.4,10952.28,40920.431,259545.011
2023-04-17,41662.08,3935.88,176112,10148.22,21793.381,253651.561
2023-04-18,187045.92,4419.36,316512,8144.28,23444.435,539565.995
2023-04-19,9479.52,365.04,31593.6,4730.22,3179.779,49348.159
2023-04-20,19782.72,1228.68,27792,1873.8,10106.223,60783.423
2023-04-21,107841.6,3577.32,89366.4,14205.6,56782.314,271773.234
2023-04-22,60505.92,13492.8,221011.2,4769.1,98833.527,398612.547
2023-04-23,95443.2,8191.44,284544,9916.02,100943.003,499037.663
2023-04-24,60773.76,7111.44,189763.2,13786.02,110095.501,381529.921
2023-04-25,15914.88,3733.38,70560,4576.14,56425.301,151209.701
2023-04-26,97319.52,6763.5,135043.2,11052.18,79675.975,329854.375
2023-04-27,27103.68,1337.04,35193.6,1935.72,19794.79,85364.83
2023-04-28,21451.68,3489.84,175392,11106.18,49347.995,260787.695
2023-04-29,75558.24,4707.54,186998.4,9475.74,60062.278,336802.198
2023-04-30,55127.52,2404.44,170784,4229.46,54121.364,286666.784
2023-05-01,2730.24,2373.66,68025.6,1579.68,14007.305,88716.485
2023-05-02,12965.76,1360.8,41356.8,4968.9,9269.751,69922.011
2023-05-03,65462.4,4145.4,273888,15263.28,48134.654,406893.734
2023-05-04,160872.48,6085.62,453427.2,15592.5,112162.413,748140.213
2023-05-05,205050.24,1.8,499161.6,18436.14,88789.479,811439.259
2023-05-06,41294.88,4167.18,93340.8,3262.5,21035.352,163100.712
2023-05-07,103322.88,492.84,263404.8,4020.66,45184.113,416425.293
2023-05-08,54768.96,250.02,23126.4,2489.94,9473.585,90108.905
2023-05-09,55677.6,1381.32,3542.4,1976.04,24016.483,86593.843
2023-05-10,95057.28,2225.16,0,1704.42,36359.379,135346.239
2023-05-11,15311.52,1134.72,9504,738.18,8500.157,35188.577
2023-05-12,5201.28,560.16,24998.4,1085.58,12393.632,44239.052
2023-05-13,12768.48,723.24,17366.4,3857.22,14666.62,49381.96
2023-05-14,12677.76,452.34,6969.6,1624.5,14828.612,36552.812
2023-05-15,21728.16,764.64,41356.8,8455.86,7486.745,79792.205
2023-05-16,7133.76,182.7,576,4509.9,858.904,13261.264
2023-05-17,66277.44,3536.28,140025.6,9580.68,53225.419,272645.419
2023-05-18,114845.76,4396.14,357724.8,9548.46,105033.463,591548.623
2023-05-19,77819.04,149.76,39801.6,7158.6,38560.592,163489.592
2023-05-20,1712.16,633.42,8035.2,274.14,17271.363,27926.283
