일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2023-01-01,954.8,615.136,420.048,179.76,2112.343,4282.087
2023-01-02,1563.6,793.152,637.632,250.4,5069.336,8314.12
2023-01-03,1241,682.08,375.408,172.08,3370.64,5841.208
2023-01-04,1881,1472.928,567.936,208.68,4740.299,8870.843
2023-01-05,1659.4,1020.736,464.184,175.68,3158.03,6478.03
2023-01-06,644.2,589.152,146.16,82.36,1415.219,2877.091
2023-01-07,1933.4,1330.016,509.832,210.52,3999.786,7983.554
2023-01-08,2020.6,1433.12,621.792,258.4,4836.48,9170.392
2023-01-09,1750.8,657.792,417.672,158.76,4059.086,7044.11
2023-01-10,1802,1574.144,429.48,169.88,2803.683,6779.187
2023-01-11,1910,1522.496,670.824,264.84,4665.816,9033.976
2023-01-12,231.6,467.2,153.288,78.96,764.379,1695.427
2023-01-13,401.4,227.68,49.104,33.12,402.076,1113.38
2023-01-14,356.2,93.92,52.776,46,1321.21,1870.106
2023-01-15,137.4,54.24,9.216,23.76,651.563,876.179
2023-01-16,316.8,183.456,115.416,82.16,1352.306,2050.138
2023-01-17,259,103.904,29.016,24.28,1225.029,1641.229
2023-01-18,928.2,373.856,225.72,134.68,2267.099,3929.555
2023-01-19,935,423.328,135.144,95.48,1584.438,3173.39
2023-01-20,1033.2,654.336,424.008,191.28,1337.119,3639.943
2023-01-21,1425.8,401.504,393.264,212.4,625.531,3058.499
2023-01-22,190.4,199.776,8.28,4.28,364.47,767.206
2023-01-23,1494.6,855.104,546.552,236.32,3674.364,6806.94
2023-01-24,348.8,239.392,50.688,0.92,684.831,1324.631
2023-01-25,1634.4,1254.304,385.56,145.96,4696.188,8116.412
2023-01-26,1601,793.088,344.088,170.84,3340.267,6249.283
2023-01-27,38.6,281.184,216.216,91.2,1227.922,1855.122
2023-01-28,23.8,199.008,281.304,134.64,1771.739,2410.491
2023-01-29,180.2,341.344,33.912,38.04,1417.39,2010.886
2023-01-30,2349.8,1753.28,863.568,368.48,5924.834,11259.962
2023-01-31,2285.2,1836.48,908.856,343.84,5639.186,11013.562
2023-02-01,1983,1336.384,727.992,242,4752.595,9041.971
2023-02-02,2211.6,1752.224,849.6,340.28,5138.761,10292.465
2023-02-03,1905.4,706.24,647.496,254.36,4927.597,8441.093
2023-02-04,2315.6,1669.28,893.232,353.32,5496.001,10727.433
2023-02-05,2288.8,1794.304,879.84,347.28,5557.469,10867.693
2023-02-06,311.8,294.112,88.56,59.56,631.317,1385.349
2023-02-07,1750.4,1481.824,685.728,239.84,3816.103,7973.895
2023-02-08,2510.2,1806.656,968.4,366.6,5757.785,11409.641
2023-02-09,408.4,489.664,147.96,92.32,865.62,2003.964
2023-02-10,820.6,551.424,359.064,190.8,3652.671,5574.559
2023-02-11,516.6,469.92,94.68,91.12,1033.392,2205.712
2023-02-12,489.8,350.336,162.432,83.04,1170.07,2255.678
2023-02-13,372.6,426.784,127.368,86.64,999.404,2012.796
2023-02-14,2635,1556.48,821.232,335.52,6026.799,11375.031
2023-02-15,641,261.952,30.384,52.6,2110.898,3096.834
2023-02-16,496.2,136.16,51.12,53.52,1990.853,2727.853
2023-02-17,369,529.728,119.376,92.52,933.595,2044.219
2023-02-18,220.2,300.032,104.76,66.24,775.225,1466.457
2023-02-19,460.4,405.984,188.712,120.84,2157.179,3333.115
2023-02-20,2317,1741.248,856.656,381.48,5377.401,10673.785
2023-02-21,2814.8,1850.496,862.2,430.72,6332.693,12290.909
2023-02-22,941.6,855.648,373.896,187.08,2188.999,4547.223
2023-02-23,238.2,456.288,124.344,103.32,2856.471,3778.623
2023-02-24,1558,1373.696,566.496,304.4,3696.06,7498.652
2023-02-25,3050.6,941.6,624.672,387.68,6677.638,11682.19
2023-02-26,3038.4,2140.096,922.032,459.88,6794.791,13355.199
2023-02-27,2830.2,2140.512,862.488,433.6,6446.23,12713.03
2023-02-28,2863,2151.104,539.928,399.4,6564.828,12518.26
2023-03-01,422.2,397.6,82.152,78.44,1163.561,2143.953
2023-03-02,2948.6,2205.184,588.744,361.2,6462.862,12566.59
2023-03-03,2441,1863.424,573.336,487.4,5573.378,10938.538
2023-03-04,2342.6,1850.144,358.992,372,5468.52,10392.256
2023-03-05,1850.6,1824.896,744.696,344.4,5080.183,9844.775
2023-03-06,1725.6,2108.48,802.44,394.8,3570.229,8601.549
2023-03-07,2559.4,1877.92,745.632,308.04,5801.172,11292.164
2023-03-08,2375.2,1704.992,661.032,309.56,4919.642,9970.426
2023-03-09,1898.2,1625.28,600.624,293.92,4279.649,8697.673
2023-03-10,2605.8,1928.384,774.216,378.76,5862.64,11549.8
2023-03-11,2386.6,1742.24,540.36,321.08,5268.205,10258.485
2023-03-12,591.2,415.456,150.192,98.6,1588.054,2843.502
2023-03-13,3197,2331.52,569.232,499,7086.223,13682.975
2023-03-14,3135.6,2298.4,310.824,470.96,6932.191,13147.975
2023-03-15,2383.2,2058.688,615.816,335.36,5767.909,11160.973
2023-03-16,2811.8,2098.592,532.368,429.76,6298.704,12171.224
2023-03-17,576.6,436.704,160.056,103.04,1347.242,2623.642
2023-03-18,3107.4,2260.832,301.464,468.72,6928.575,13066.991
2023-03-19,1923,1909.408,300.312,432.56,6214.818,10780.098
2023-03-20,1030.2,863.712,365.112,188.96,2246.129,4694.113
2023-03-21,289.4,504.256,101.448,66.12,553.94,1515.164
2023-03-22,373,1035.84,59.184,29,517.057,2014.081
2023-03-23,1279.4,355.904,234.576,126.72,2617.108,4613.708
2023-03-24,367.4,332.896,71.064,52.4,736.175,1559.935
2023-03-25,314.8,293.152,153.576,104.12,848.988,1714.636
2023-03-26,2605.2,1951.52,412.272,357.08,5654.371,10980.443
2023-03-27,3354.2,2385.696,655.56,524.12,7311.124,14230.7
2023-03-28,2855.8,2015.264,992.232,380.28,6472.263,12715.839
2023-03-29,2389.4,2195.04,867.168,458.64,6462.14,12372.388
2023-03-30,2029.4,1588.352,688.608,314.76,4546.494,9167.614
2023-03-31,2843.8,2189.888,666.864,444.28,6449.121,12593.953
