일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2023-11-21,1841,1258.272,504.648,284,3944.825,7832.745
2023-11-22,2063.4,1496.864,493.416,233.32,4829.249,9116.249
2023-11-23,1624.2,1027.072,357.12,193.84,3352.561,6554.793
2023-11-24,442.2,253.152,79.344,85.32,1412.327,2272.343
2023-11-25,2005.4,1015.744,544.896,215.08,5330.397,9111.517
2023-11-26,1651.2,1372.128,494.928,318.88,3699.676,7536.812
2023-11-27,1224.6,377.344,183.6,132.44,2871.659,4789.643
2023-11-28,572,440.096,89.064,100.52,2217.202,3418.882
2023-11-29,946.6,803.04,135.072,229.56,2562.872,4677.144
2023-11-30,105,121.792,43.272,60.08,505.487,835.631
2023-12-01,190.2,127.2,31.536,45.72,603.836,998.492
2023-12-02,875.8,248,58.248,64.64,1718.946,2965.634
2023-12-03,1367.6,633.216,229.824,144.4,3236.13,5611.17
2023-12-04,1666.4,1241.76,444.168,241.72,3957.12,7551.168
2023-12-05,1928.2,1417.568,494.712,274.96,4760.548,8875.988
2023-12-06,1198.4,940.64,255.888,152.48,2847.072,5394.48
2023-12-07,2032,1409.792,496.728,271.68,4903.732,9113.932
2023-12-08,1954,1373.536,465.768,248.24,4132.124,8173.668
2023-12-09,1296.8,909.056,241.056,152.16,2727.751,5326.823
2023-12-10,1322,880.512,307.368,179.64,2778.373,5467.893
2023-12-11,222.8,287.392,16.704,31.68,218.395,776.971
2023-12-12,341,140.096,26.928,47.32,1511.4,2066.744
2023-12-13,708.8,884.992,124.632,97.76,1732.686,3548.87
2023-12-14,100.8,135.36,0.216,6.8,161.263,404.439
2023-12-15,252,147.872,138.816,89.56,1083.289,1711.537
2023-12-16,186.6,152.576,24.912,26.64,1319.764,1710.492
2023-12-17,0.2,185.12,30.168,3.8,352.177,571.465
2023-12-18,18,343.68,149.832,116.96,2471.031,3099.503
2023-12-19,149.6,195.04,20.376,51.44,585.757,1002.213
2023-12-20,852,199.968,43.992,53.56,1620.595,2770.115
2023-12-21,1.4,184.448,21.456,6.8,898.884,1112.988
2023-12-22,0,6.112,67.536,64.08,419.433,557.161
2023-12-23,48.6,202.656,81.576,85,1433.299,1851.131
2023-12-24,197.6,83.712,0.432,1.28,1521.525,1804.549
2023-12-25,81.4,225.184,66.168,69.96,799.089,1241.801
2023-12-26,1063,422.944,31.248,54.88,2171.644,3743.716
2023-12-27,1147.4,1055.84,373.176,188.4,3400.288,6165.104
2023-12-28,954.6,797.632,253.584,156.4,2719.797,4882.013
2023-12-29,1568,771.328,350.64,188.04,3859.493,6737.501
2023-12-30,1454.4,1026.752,335.016,189.68,3644.716,6650.564
2023-12-31,222.6,176.928,36.864,54.48,1196.826,1687.698
