일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2023-10-01,2565.6,1817.728,333.72,423.24,3253.486,8393.774
2023-10-02,2721.2,1924.192,652.752,430.68,6000.04,11728.864
2023-10-03,559.6,389.76,93.168,99.2,1143.312,2285.04
2023-10-04,2547.4,1813.952,448.56,368,4571.804,9749.716
2023-10-05,2937.8,1865.6,177.192,359.12,1632.167,6971.879
2023-10-06,1414.2,1139.584,363.384,251.72,3168.155,6337.043
2023-10-07,454.4,345.056,75.312,82.84,919.855,1877.463
2023-10-08,497.4,750.688,47.664,60.6,1458.609,2814.961
2023-10-09,1104,1008.768,428.112,292.84,2683.64,5517.36
2023-10-10,2492.8,1636.512,380.88,397.88,3299.046,8207.118
2023-10-11,1618.8,1653.024,534.312,311.48,3754.635,7872.251
2023-10-12,2409.6,1681.216,660.6,417,5650.033,10818.449
2023-10-13,1542.8,1028.448,493.704,309.28,3512.376,6886.608
2023-10-14,2327,1560.736,387.792,346.64,3501.529,8123.697
2023-10-15,2018,1370.624,250.2,309.84,2742.215,6690.879
2023-10-16,2278,1330.624,567.36,356.6,5423.683,9956.267
2023-10-17,2792.2,1903.616,381.672,432.12,3513.101,9022.709
2023-10-18,2272.6,1840.352,634.752,400.08,4893.61,10041.394
2023-10-19,1509.6,1688.032,446.256,284.8,3307.001,7235.689
2023-10-20,1474.6,1086.752,268.128,187.4,2482.599,5499.479
2023-10-21,2745,1889.856,386.496,411.4,3633.144,9065.896
2023-10-22,2093.8,1586.784,364.176,288.44,3865.278,8198.478
2023-10-23,1683.6,1591.584,598.608,361.52,4331.715,8567.027
2023-10-24,1917.6,1506.688,460.08,277.2,3719.199,7880.767
2023-10-25,2088.2,1704.544,584.64,362.48,3770.546,8510.41
2023-10-26,1873.2,1596.32,543.6,303.48,3969.414,8286.014
2023-10-27,2600,1584.256,317.952,382.12,3116.088,8000.416
2023-10-28,2467.2,1660.576,261.144,365.28,2561.425,7315.625
2023-10-29,2059.8,1603.168,402.84,339.56,3471.158,7876.526
2023-10-30,1524.8,1660.64,563.76,345.84,3277.352,7372.392
2023-10-31,2355.2,1669.472,379.8,359.52,3401.012,8165.004
2023-11-01,2318,1642.048,573.408,348.68,4690.403,9572.539
2023-11-02,2348,1616.064,570.888,345.56,5473.582,10354.094
2023-11-03,1768.4,1424.48,401.184,226.52,4968.818,8789.402
2023-11-04,1140.6,1180.064,183.312,141,2298.196,4943.172
2023-11-05,335.2,361.664,63.288,67.6,992.897,1820.649
2023-11-06,361.4,260.288,33.336,49.36,1075.337,1779.721
2023-11-07,1410.6,777.6,255.24,169.72,5248.68,7861.84
2023-11-08,1967.4,1621.216,556.632,320.16,4559.51,9024.918
2023-11-09,946,606.144,243.792,157.04,2753.061,4706.037
2023-11-10,899,684.96,138.744,125.6,2422.577,4270.881
2023-11-11,1888.2,1217.952,523.944,300.88,4957.97,8888.946
2023-11-12,575.4,273.408,187.344,136.52,2694.487,3867.159
2023-11-13,1048,462.336,276.768,181.44,3646.886,5615.43
2023-11-14,1003.4,189.632,35.064,53.6,3275.181,4556.877
2023-11-15,1421.2,1424.32,552.6,277.92,4067.764,7743.804
2023-11-16,252.6,202.848,24.48,37.84,425.939,943.707
2023-11-17,1118.6,431.84,231.768,135.96,2912.88,4831.048
2023-11-18,847.8,228.992,140.4,121.72,1493.321,2832.233
2023-11-19,2328.2,1221.728,537.264,287.44,5419.345,9793.977
2023-11-20,2357.6,1607.232,572.04,334.16,5598.687,10469.719
