일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2023-07-01,781.2,1220.192,550.584,267.52,2191.169,5010.665
2023-07-02,1214.6,1673.312,359.64,185.72,2155.732,5589.004
2023-07-03,544.6,468.8,72.144,36.68,932.873,2055.097
2023-07-04,801.2,1281.44,217.872,103.6,1131.74,3535.852
2023-07-05,2579.4,1648.192,764.568,361.8,5272.545,10626.505
2023-07-06,2920.2,2279.552,893.448,448.4,6537.349,13078.949
2023-07-07,799.2,868.96,247.536,119.32,964.692,2999.708
2023-07-08,403.8,416.576,70.704,36.88,662.412,1590.372
2023-07-09,997.4,1082.368,315.504,163.68,2623.616,5182.568
2023-07-10,2372.6,2061.952,779.04,400.4,5185.765,10799.757
2023-07-11,2256.2,2268.576,755.64,399,3586.864,9266.28
2023-07-12,2846.8,2341.888,794.376,425.36,6333.417,12741.841
2023-07-13,1456.8,1185.504,403.488,213.52,2744.384,6003.696
2023-07-14,1020.4,1682.208,367.128,189.76,2016.889,5276.385
2023-07-15,1927.6,1950.496,707.904,369.6,3565.891,8521.491
2023-07-16,1340.4,1592.768,388.08,210.8,3103.793,6635.841
2023-07-17,1218.2,943.968,349.848,192.04,2704.61,5408.666
2023-07-18,637,1148.768,401.616,205.32,2078.354,4471.058
2023-07-19,2008.8,816.64,547.92,330.2,3683.768,7387.328
2023-07-20,1056.4,804.128,260.208,198.2,2318.445,4637.381
2023-07-21,1373,961.952,497.952,292.6,2661.945,5787.449
2023-07-22,633.4,554.752,178.344,131.28,781.735,2279.511
2023-07-23,630,952.96,180.504,137.92,1594.564,3495.948
2023-07-24,1011,636.384,259.704,174.8,1946.019,4027.907
2023-07-25,743.8,772.64,339.048,0,2231.665,4087.153
2023-07-26,2027.8,2094.24,794.016,0,4247.107,9163.163
2023-07-27,1533.4,2065.12,594.72,137.52,4312.19,8642.95
2023-07-28,901,1057.536,427.392,251.16,2645.313,5282.401
2023-07-29,2032,1918.112,402.768,310.72,3769.098,8432.698
2023-07-30,2235.6,2112.416,536.112,410.8,5078.016,10372.944
2023-07-31,2088.2,2016.832,555.696,407.6,4874.806,9943.134
2023-08-01,2323,2099.456,512.928,383.8,4699.08,10018.264
2023-08-02,2506,2134.784,585.144,415.8,5462.011,11103.739
2023-08-03,2019.4,2326.88,606.744,444.68,4363.533,9761.237
2023-08-04,1384.2,2092.736,541.8,404.32,3541.305,7964.361
2023-08-05,2337.2,2164.576,671.112,497.84,5185.764,10856.492
2023-08-06,1225.8,1548.704,500.472,386.64,3447.295,7108.911
2023-08-07,1661.8,1896.16,628.128,444.48,4560.956,9191.524
2023-08-08,987,1144.064,430.776,313.4,2863.706,5738.946
2023-08-09,136,185.376,29.304,38.32,266.122,655.122
2023-08-10,1672.4,1536.864,500.4,351.4,4886.379,8947.443
2023-08-11,2302.2,2245.472,440.424,328.2,4171.172,9487.468
2023-08-12,1908.2,2007.424,560.808,417.72,4121.999,9016.151
2023-08-13,2486,1841.792,620.496,439.56,5521.31,10909.158
2023-08-14,2239.4,2223.328,573.408,394.24,4606.515,10036.891
2023-08-15,2112,1921.056,632.664,454.04,4482.856,9602.616
2023-08-16,2138,1957.664,480.744,330.84,4107.539,9014.787
2023-08-17,1084.2,1374.016,421.2,315.24,2625.06,5819.716
2023-08-18,1981,2186.432,600.48,419.32,3077.758,8264.99
2023-08-19,1210,2029.664,534.744,409.52,1918.538,6102.466
2023-08-20,2699,1676.64,586.872,403.72,6039.815,11406.047
2023-08-21,2114.2,1987.712,619.2,437.64,4496.596,9655.348
2023-08-22,1158.6,1351.712,489.456,352.8,4114.769,7467.337
2023-08-23,325.2,217.696,149.76,140.48,2120.3,2953.436
2023-08-24,1122.2,870.688,159.192,149.56,2100.773,4402.413
2023-08-25,2078,2063.456,652.392,468.52,4686.788,9949.156
2023-08-26,2549.4,2133.824,670.464,486.52,6332.695,12172.903
2023-08-27,2169.4,2114.336,594.144,415.52,4923.981,10217.381
2023-08-28,1340,1774.144,508.608,367.72,3910.836,7901.308
2023-08-29,1362.8,1160,316.8,236.32,3257.827,6333.747
2023-08-30,355,142.272,28.152,49.36,1101.369,1676.153
2023-08-31,1733.6,1518.848,317.16,244.12,3490.685,7304.413
2023-09-01,572,553.792,192.528,169,1613.366,3100.686
2023-09-02,2236.8,1523.904,513.072,355.64,4706.313,9335.729
2023-09-03,1709.4,1908,523.224,405.68,4380.889,8927.193
2023-09-04,2208.2,1855.04,593.208,467.8,3924.577,9048.825
2023-09-05,2348.6,1677.344,541.656,411.64,4948.57,9927.81
2023-09-06,2785.6,1995.36,598.176,464.4,6349.327,12192.863
2023-09-07,2637.2,2003.808,649.656,425.4,5115.618,10831.682
2023-09-08,2359.6,1959.84,688.032,470.32,5759.952,11237.744
2023-09-09,2547.4,1984.416,662.76,452.52,5471.413,11118.509
2023-09-10,1896.2,1428.8,408.816,292.2,3654.839,7680.855
2023-09-11,1924.2,1842.304,591.696,405.4,5194.443,9958.043
2023-09-12,1428.6,1465.696,258.696,219.6,2764.632,6137.224
2023-09-13,1603.6,1421.408,368.424,295.04,3738.727,7427.199
2023-09-14,121.2,415.296,66.96,91.24,1033.392,1728.088
2023-09-15,655.2,1712.288,503.136,330.08,5072.954,8273.658
2023-09-16,870.4,647.68,194.472,173.16,2625.787,4511.499
2023-09-17,856.6,681.376,219.096,93.72,2215.033,4065.825
2023-09-18,1619.2,1489.92,522.72,219.52,671.813,4523.173
2023-09-19,1526.6,1417.824,493.776,335.32,3394.503,7168.023
2023-09-20,530,852.192,178.632,158.84,1250.342,2970.006
2023-09-21,1351.6,1102.4,277.56,216.04,4094.52,7042.12
2023-09-22,931.4,579.584,74.952,81.08,1648.8,3315.816
2023-09-23,1416.2,1076.832,349.416,255.12,3291.092,6388.66
2023-09-24,954.2,1012.576,411.624,280,2344.477,5002.877
2023-09-25,1296,1508.576,538.416,366.28,1960.483,5669.755
2023-09-26,1502.2,1594.528,451.008,311.8,2304.705,6164.241
2023-09-27,2495,1797.92,583.488,416.76,5727.41,11020.578
2023-09-28,1566.4,1292.064,498.168,297.16,3190.572,6844.364
2023-09-29,2234,1850.976,626.76,417.84,5294.239,10423.815
2023-09-30,777.4,619.328,204.12,171.76,1359.536,3132.144
