날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-10-02,589.6,605.5,641,653.6,649.2,684,670.5,638.4,688.8,801.7,878.1,882.4,875.4,855,798.7,718.8,604.4,517.9,482.7,500.6,513.6,537.8,558.6,586.5
2023-10-03,628.3,654,675.7,690.9,699.1,698.4,677,650.6,641.4,586.9,635.3,640.7,660.6,663,623.8,591.5,590.4,576.4,558.1,555.4,588.8,612.3,631.4,648.5
2023-10-04,684.6,711.6,737.8,753.6,748.9,747.9,726.3,716.6,768.2,832.9,876.9,902.9,927.9,898.5,880.6,839.8,716.4,603.1,590.7,589,627.8,699.8,676.6,667.5
2023-10-05,712.8,770.3,837.3,872.3,872.1,903.6,888.8,848.7,886.5,884,946.8,959.7,951.2,921.2,784.6,729.4,672.9,562.8,525.5,549.8,555.6,556.4,560.3,591
2023-10-06,618,644.6,660.6,663.1,649.6,643.3,627.3,613.8,653.8,590.4,760.5,719.2,745.2,733.4,557.8,527.4,493.7,457.1,464.3,490.8,472.5,517.5,532.8,551.4
2023-10-07,579.8,610.7,647.4,654.3,638.1,627.1,600.1,580.3,549.9,565.5,532.1,549.7,550,528.9,484.7,473,466.3,444,435.4,471.7,498.6,521,535.8,565.9
2023-10-08,596.4,657.7,683,680.8,669.3,691.5,678,660.5,641.6,524.8,568.3,689.6,687.6,694.8,648.2,613.5,579.1,533.8,511.1,509.5,523.1,533.8,561.2,572.3
2023-10-09,600.4,626.1,637.5,649.2,651.7,649.9,622.3,631.7,627.5,619.6,655.9,578.9,532.6,530.5,595.7,472.6,371,328.6,338.3,337.3,338.5,356.3,381.6,444
2023-10-10,481.7,497.1,523.3,573.1,586.1,588,544.5,554.5,621.8,676,693.3,699.4,700.3,682.4,538.3,503.2,369.7,324.6,317.3,321.7,323.4,337.2,355.8,377.4
2023-10-11,422.9,450.8,479,494.1,498.5,505.4,465.3,455.3,506.8,559.1,645.1,637,632.1,615.1,566.4,506.5,424.2,312.2,277,284,302.1,327.2,351.4,380.5
2023-10-12,421.3,429.4,478.5,502.3,505.9,496.1,462.7,472,543.1,613.2,657.7,685.4,688,678.5,639,568.6,449,311.1,289.7,300.9,312.3,335.5,351.7,381.1
2023-10-13,431.6,464.9,488.7,503.4,508.2,516.3,470.5,453,456,509,519.1,580.4,630.5,556.6,506,395.8,325.3,283.2,263.9,277.4,287.1,310.4,330,352.7
2023-10-14,401.4,436.6,459.7,474.1,476.8,468,452.5,473.3,558.5,636.9,691.5,706.7,639.4,617.2,656.5,595.5,479.1,357.6,322.2,344.7,371.4,399,424.9,456.5
2023-10-15,494,527.5,543.9,547.6,546,557.6,519.1,522.5,603,682.8,687.1,697.4,715.7,708.4,653.6,637.9,555.9,420.4,399.1,405.5,395.1,392.1,397.4,418.3
2023-10-16,458.7,494.5,514.9,522.3,546.4,572.9,547.3,541.5,558.4,624.2,657.2,694.6,695.9,693.4,685.5,653.1,556.7,439.5,426.4,445.5,457.3,498.5,517.3,538.2
2023-10-17,552.4,577.7,607.6,618.1,611,621.7,563.1,547.1,672.4,716.8,715.3,723.6,719.7,692.7,682,612.4,520.4,680.3,655,667.5,674.4,695.1,710.4,726.2
2023-10-18,769.9,798.8,817.3,787.4,782.6,762.4,731,731.7,814.9,885.5,925,968.2,990.7,955.9,886.3,765,661.2,559.1,531.3,546.3,592.7,651.4,674.7,677.7
2023-10-19,558.2,585,608,599.9,574.7,555.7,520.9,515.9,585.3,661.5,693.6,714.5,703.7,651.9,604.7,529.9,451.5,363.6,333.7,348.3,371.5,403.5,353.1,444.3
2023-10-20,464.9,562.8,644.3,685.8,729.3,745.1,712,625.4,629.8,666.4,630.8,680.8,808.2,831.9,832.1,796.4,688.1,569.2,559.3,577.6,577,598.7,630.6,645.7
2023-10-21,668.7,680.1,701.7,706.5,705.5,687.5,651.5,651.5,736.7,838,886.1,900.4,903.6,881,865.9,808.5,674.6,525.8,488,500.3,506.6,504,508.1,522.6
2023-10-22,565.3,591.4,614.6,630.1,620.4,610.8,585.2,604.7,719.7,818,821.5,851.3,871.4,815.9,762.8,643.5,515.1,445.7,419.1,429.4,431.7,445.3,466.8,487.1
2023-10-23,483,511.7,531.8,540.1,537.2,525.8,487.1,486,578.7,659.5,720.4,746.4,729.2,649.2,609.5,537.9,432,335,309,322.5,194.6,219.3,243.7,271.9
2023-10-24,315.8,345.9,448.4,530.6,527.7,509.2,476.8,466.3,506.4,642.5,643.6,637.9,686.8,683.4,622.4,500.1,388.9,323.3,299,313.5,335.9,361.4,383.3,411.3
2023-10-25,456.8,489.6,510,520,519.4,505.1,471,464.9,541.1,612,663.5,702.6,728.3,652,564.6,513.7,400.8,312.9,291.5,315.2,326.2,355.7,380.7,409.3
2023-10-26,453.1,487.3,510.1,528.1,526.9,513.6,476.5,456.4,512,518,622.4,691.8,682.2,613.2,590.3,528.4,424.3,324.4,354,401.8,426.2,450.9,469.8,480.9
2023-10-27,408.9,440.3,475.8,522.3,565,559,512.9,489.7,571.2,674,693.9,698.2,694,674.5,664.5,658.4,593.8,445.6,430.3,413.8,389.7,396.9,412.9,424.9
2023-10-28,443.4,476.9,497.3,496.5,499.7,496,474.4,460.9,549.4,638,688,708.2,711.3,686,659.9,588.3,442,330.7,323,339.5,344.4,352.2,366.1,373
2023-10-29,405,430.7,447.2,459.7,456.2,452.1,423.3,435.8,542.7,644.6,698.6,694.7,680.4,658.1,583.1,489.5,399.8,300.1,264.5,275.1,289.9,314.7,332.9,356
2023-10-30,399,429.4,449.2,462.2,460.4,442,409.3,392.8,477.2,547.2,581.5,619.6,619.5,547.5,500.8,436.2,337.6,251.1,232.9,242,262,289.3,315.2,342.1
2023-10-31,390.4,423.9,443.9,455.3,453.7,437.2,400.9,390,483.2,575.5,635.4,678.6,688.6,653.4,582.7,540.1,410,307.3,286.7,302.5,319.8,352,373.5,401.3
2023-11-01,441,473.9,490.4,504.5,506.4,498.4,462.4,442.3,517.7,580.1,624,657.3,681.6,642.1,585,485.4,344.6,220,222.2,232.5,252.2,284.4,315.4,344.3
2023-11-02,333.5,354.8,373.7,393.7,400.3,367.2,319.8,316.8,398.2,484.4,546.4,586.2,608.9,587,536.2,468.2,348.2,287.5,304.4,327.3,336.9,372,414.4,436.1
2023-11-03,472.3,505.3,524.9,536.2,514.5,502,456.8,432.9,503.5,577.9,618.4,634.8,633.5,566.7,518.8,435.4,326.2,253.6,296.2,317.5,332.1,360.9,393.7,425.1
2023-11-04,464.8,497.2,516,526.9,523.5,518.3,487.6,485.5,607.3,649.3,660,619.7,596.1,577.6,574.6,535.3,471.9,384.3,382.9,409.2,426,445.4,467.8,502.5
2023-11-05,544.6,574.1,606.3,641.4,642.7,654.1,623.1,592,583.3,565.2,615.2,592.5,624.7,668,660.3,650.7,590.1,516.2,546.9,554,556.5,602.4,634.2,648.7
